vocab_item	vocab_index
TIGRFAMs:TIGR00001	0
TIGRFAMs:TIGR00002	1
TIGRFAMs:TIGR00003	2
TIGRFAMs:TIGR00004	3
TIGRFAMs:TIGR00005	4
TIGRFAMs:TIGR00006	5
TIGRFAMs:TIGR00007	6
TIGRFAMs:TIGR00008	7
TIGRFAMs:TIGR00009	8
TIGRFAMs:TIGR00010	9
TIGRFAMs:TIGR00011	10
TIGRFAMs:TIGR00012	11
TIGRFAMs:TIGR00013	12
TIGRFAMs:TIGR00014	13
TIGRFAMs:TIGR00016	14
TIGRFAMs:TIGR00017	15
TIGRFAMs:TIGR00018	16
TIGRFAMs:TIGR00019	17
TIGRFAMs:TIGR00020	18
TIGRFAMs:TIGR00021	19
TIGRFAMs:TIGR00022	20
TIGRFAMs:TIGR00023	21
TIGRFAMs:TIGR00024	22
TIGRFAMs:TIGR00025	23
TIGRFAMs:TIGR00026	24
TIGRFAMs:TIGR00027	25
TIGRFAMs:TIGR00028	26
TIGRFAMs:TIGR00029	27
TIGRFAMs:TIGR00030	28
TIGRFAMs:TIGR00031	29
TIGRFAMs:TIGR00032	30
TIGRFAMs:TIGR00033	31
TIGRFAMs:TIGR00034	32
TIGRFAMs:TIGR00035	33
TIGRFAMs:TIGR00036	34
TIGRFAMs:TIGR00037	35
TIGRFAMs:TIGR00038	36
TIGRFAMs:TIGR00039	37
TIGRFAMs:TIGR00040	38
TIGRFAMs:TIGR00041	39
TIGRFAMs:TIGR00042	40
TIGRFAMs:TIGR00043	41
TIGRFAMs:TIGR00044	42
TIGRFAMs:TIGR00045	43
TIGRFAMs:TIGR00046	44
TIGRFAMs:TIGR00048	45
TIGRFAMs:TIGR00049	46
TIGRFAMs:TIGR00050	47
TIGRFAMs:TIGR00051	48
TIGRFAMs:TIGR00052	49
TIGRFAMs:TIGR00053	50
TIGRFAMs:TIGR00054	51
TIGRFAMs:TIGR00055	52
TIGRFAMs:TIGR00056	53
TIGRFAMs:TIGR00057	54
TIGRFAMs:TIGR00058	55
TIGRFAMs:TIGR00059	56
TIGRFAMs:TIGR00060	57
TIGRFAMs:TIGR00061	58
TIGRFAMs:TIGR00062	59
TIGRFAMs:TIGR00063	60
TIGRFAMs:TIGR00064	61
TIGRFAMs:TIGR00065	62
TIGRFAMs:TIGR00066	63
TIGRFAMs:TIGR00067	64
TIGRFAMs:TIGR00068	65
TIGRFAMs:TIGR00069	66
TIGRFAMs:TIGR00070	67
TIGRFAMs:TIGR00071	68
TIGRFAMs:TIGR00072	69
TIGRFAMs:TIGR00073	70
TIGRFAMs:TIGR00074	71
TIGRFAMs:TIGR00075	72
TIGRFAMs:TIGR00077	73
TIGRFAMs:TIGR00078	74
TIGRFAMs:TIGR00079	75
TIGRFAMs:TIGR00080	76
TIGRFAMs:TIGR00081	77
TIGRFAMs:TIGR00082	78
TIGRFAMs:TIGR00083	79
TIGRFAMs:TIGR00084	80
TIGRFAMs:TIGR00086	81
TIGRFAMs:TIGR00087	82
TIGRFAMs:TIGR00088	83
TIGRFAMs:TIGR00089	84
TIGRFAMs:TIGR00090	85
TIGRFAMs:TIGR00091	86
TIGRFAMs:TIGR00092	87
TIGRFAMs:TIGR00093	88
TIGRFAMs:TIGR00094	89
TIGRFAMs:TIGR00095	90
TIGRFAMs:TIGR00096	91
TIGRFAMs:TIGR00097	92
TIGRFAMs:TIGR00099	93
TIGRFAMs:TIGR00100	94
TIGRFAMs:TIGR00101	95
TIGRFAMs:TIGR00103	96
TIGRFAMs:TIGR00104	97
TIGRFAMs:TIGR00105	98
TIGRFAMs:TIGR00106	99
TIGRFAMs:TIGR00107	100
TIGRFAMs:TIGR00109	101
TIGRFAMs:TIGR00110	102
TIGRFAMs:TIGR00111	103
TIGRFAMs:TIGR00112	104
TIGRFAMs:TIGR00113	105
TIGRFAMs:TIGR00114	106
TIGRFAMs:TIGR00115	107
TIGRFAMs:TIGR00116	108
TIGRFAMs:TIGR00117	109
TIGRFAMs:TIGR00118	110
TIGRFAMs:TIGR00119	111
TIGRFAMs:TIGR00120	112
TIGRFAMs:TIGR00121	113
TIGRFAMs:TIGR00122	114
TIGRFAMs:TIGR00123	115
TIGRFAMs:TIGR00124	116
TIGRFAMs:TIGR00125	117
TIGRFAMs:TIGR00126	118
TIGRFAMs:TIGR00127	119
TIGRFAMs:TIGR00128	120
TIGRFAMs:TIGR00129	121
TIGRFAMs:TIGR00130	122
TIGRFAMs:TIGR00131	123
TIGRFAMs:TIGR00132	124
TIGRFAMs:TIGR00133	125
TIGRFAMs:TIGR00134	126
TIGRFAMs:TIGR00135	127
TIGRFAMs:TIGR00136	128
TIGRFAMs:TIGR00137	129
TIGRFAMs:TIGR00138	130
TIGRFAMs:TIGR00139	131
TIGRFAMs:TIGR00140	132
TIGRFAMs:TIGR00142	133
TIGRFAMs:TIGR00143	134
TIGRFAMs:TIGR00144	135
TIGRFAMs:TIGR00145	136
TIGRFAMs:TIGR00147	137
TIGRFAMs:TIGR00148	138
TIGRFAMs:TIGR00149	139
TIGRFAMs:TIGR00150	140
TIGRFAMs:TIGR00151	141
TIGRFAMs:TIGR00152	142
TIGRFAMs:TIGR00153	143
TIGRFAMs:TIGR00154	144
TIGRFAMs:TIGR00155	145
TIGRFAMs:TIGR00156	146
TIGRFAMs:TIGR00157	147
TIGRFAMs:TIGR00158	148
TIGRFAMs:TIGR00159	149
TIGRFAMs:TIGR00160	150
TIGRFAMs:TIGR00161	151
TIGRFAMs:TIGR00162	152
TIGRFAMs:TIGR00163	153
TIGRFAMs:TIGR00164	154
TIGRFAMs:TIGR00165	155
TIGRFAMs:TIGR00166	156
TIGRFAMs:TIGR00167	157
TIGRFAMs:TIGR00168	158
TIGRFAMs:TIGR00169	159
TIGRFAMs:TIGR00170	160
TIGRFAMs:TIGR00171	161
TIGRFAMs:TIGR00172	162
TIGRFAMs:TIGR00173	163
TIGRFAMs:TIGR00174	164
TIGRFAMs:TIGR00175	165
TIGRFAMs:TIGR00176	166
TIGRFAMs:TIGR00177	167
TIGRFAMs:TIGR00178	168
TIGRFAMs:TIGR00179	169
TIGRFAMs:TIGR00180	170
TIGRFAMs:TIGR00181	171
TIGRFAMs:TIGR00182	172
TIGRFAMs:TIGR00183	173
TIGRFAMs:TIGR00184	174
TIGRFAMs:TIGR00185	175
TIGRFAMs:TIGR00186	176
TIGRFAMs:TIGR00187	177
TIGRFAMs:TIGR00188	178
TIGRFAMs:TIGR00189	179
TIGRFAMs:TIGR00190	180
TIGRFAMs:TIGR00191	181
TIGRFAMs:TIGR00192	182
TIGRFAMs:TIGR00193	183
TIGRFAMs:TIGR00194	184
TIGRFAMs:TIGR00196	185
TIGRFAMs:TIGR00197	186
TIGRFAMs:TIGR00198	187
TIGRFAMs:TIGR00199	188
TIGRFAMs:TIGR00200	189
TIGRFAMs:TIGR00201	190
TIGRFAMs:TIGR00202	191
TIGRFAMs:TIGR00203	192
TIGRFAMs:TIGR00204	193
TIGRFAMs:TIGR00205	194
TIGRFAMs:TIGR00206	195
TIGRFAMs:TIGR00207	196
TIGRFAMs:TIGR00208	197
TIGRFAMs:TIGR00209	198
TIGRFAMs:TIGR00210	199
TIGRFAMs:TIGR00211	200
TIGRFAMs:TIGR00212	201
